Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000231	0	0	17	22	3	1	0	28	0	0	11	8	9	5	37	141
OG0000232	65	0	0	0	10	0	4	2	2	0	25	4	20	9	0	141
OG0000233	20	8	6	6	19	3	1	23	5	5	11	9	11	2	11	140
OG0000234	2	13	19	7	10	1	2	41	4	2	14	3	8	3	10	139
OG0000235	10	11	20	1	1	0	0	14	1	1	2	5	13	4	55	138
OG0000236	4	5	11	13	16	0	3	18	2	2	23	6	3	11	20	137
OG0000237	10	1	4	5	31	0	21	7	4	3	10	8	11	15	7	137
OG0000238	0	0	13	30	31	0	0	8	0	0	0	0	4	0	51	137
OG0000239	103	1	1	0	3	1	3	6	2	1	4	0	4	2	5	136
OG0000240	15	10	5	16	10	10	5	4	6	28	9	4	2	3	9	136
OG0000241	0	29	5	3	9	1	0	57	0	0	0	0	18	8	6	136
OG0000242	4	9	11	11	17	1	6	10	4	4	15	9	12	7	16	136
OG0000243	8	12	8	8	15	2	7	11	0	16	9	7	6	7	19	135
OG0000244	2	3	4	21	29	1	7	6	1	3	16	1	16	17	7	134
OG0000245	5	5	0	2	0	1	0	62	0	1	14	7	34	2	1	134
OG0000246	17	8	8	13	12	5	1	7	9	8	12	9	8	8	9	134
OG0000247	0	0	130	3	0	0	0	0	0	0	1	0	0	0	0	134
OG0000248	1	0	20	39	7	0	0	17	0	0	29	5	5	6	4	133
OG0000249	5	8	9	9	13	5	12	11	5	5	10	10	7	10	14	133
OG0000250	4	0	17	36	18	0	2	12	0	5	12	0	11	6	10	133
OG0000251	4	14	8	11	12	0	6	14	11	0	16	13	6	5	12	132
OG0000252	15	2	11	17	11	1	1	14	3	13	7	3	12	10	12	132
OG0000253	1	5	36	1	9	0	0	49	0	0	4	0	10	3	13	131
OG0000254	7	4	13	14	5	0	0	16	7	4	14	30	7	5	5	131
OG0000255	3	0	64	14	0	0	0	38	0	2	6	0	0	0	4	131
OG0000256	1	1	56	58	1	1	3	1	1	2	1	1	1	1	2	131
OG0000257	12	20	5	10	1	1	3	8	4	9	5	5	28	3	16	130
